Test Name,M-max Lower Leg Ampl Lines
Test Item,Left TA
Patient Name,"mid  s2718tdvg"
Patient ID,
Test Date,9/24/2019
Trace Label,"Tr 1 : 0 mA : 200 탎","Tr 2 : 80 mA : 200 탎","Tr 3 : 100 mA : 200 탎","Tr 4 : 100 mA : 300 탎","Tr 5 : 100 mA : 400 탎","Tr 6 : 100 mA : 400 탎","Tr 7 : 100 mA : 400 탎","Tr 8 : 100 mA : 400 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 500 탎","Tr 11 : 100 mA : 500 탎","Tr 12 : 100 mA : 500 탎","Tr 13 : 100 mA : 500 탎"
,21.362304688,4005.432128906,5094.146728516,6035.614013672,6145.477294922,6237.792968750,6208.801269531,4332.733154297,6166.839599609,6231.689453125,6113.433837891,6180.572509766,3205.871582031
,21.362304688,4174.804687500,5142.211914063,6054.687500000,6179.046630859,6289.672851563,6225.585937500,4557.037353516,6201.934814453,6220.245361328,6170.654296875,6237.030029297,3424.072265625
,22.125244141,4293.060302734,5141.448974609,6015.777587891,6154.632568359,6285.858154297,6184.387207031,4722.595214844,6182.098388672,6150.054931641,6176.757812500,6242.370605469,3593.444824219
,22.888183594,4372.406005859,5101.013183594,5919.647216797,6076.049804688,6218.719482422,6076.812744141,4815.673828125,6096.649169922,6010.437011719,6125.640869141,6187.438964844,3710.174560547
,24.414062500,4420.471191406,5022.430419922,5764.007568359,5939.483642578,6080.627441406,5895.996093750,4824.829101563,5942.535400391,5798.339843750,6008.911132813,6063.079833984,3776.550292969
,25.939941406,4438.781738281,4903.411865234,5545.806884766,5743.408203125,5873.107910156,5654.144287109,4740.905761719,5718.994140625,5520.629882813,5824.279785156,5870.819091797,3796.386718750
,25.939941406,4425.048828125,4739.379882813,5271.911621094,5493.164062500,5599.975585938,5364.990234375,4578.399658203,5438.232421875,5195.617675781,5577.087402344,5613.708496094,3782.653808594
,26.702880859,4380.035400391,4533.386230469,4957.580566406,5200.195312500,5281.066894531,5050.659179688,4356.384277344,5121.612548828,4848.480224609,5285.644531250,5312.347412109,3749.084472656
,26.702880859,4305.267333984,4292.297363281,4620.361328125,4882.049560547,4940.795898438,4733.276367188,4097.747802734,4788.970947266,4500.579833984,4965.972900391,4985.046386719,3699.493408203
,25.939941406,4203.796386719,4029.846191406,4278.564453125,4556.274414063,4592.132568359,4419.708251953,3825.378417969,4457.092285156,4169.464111328,4634.857177734,4646.301269531,3642.272949219
