Test Name,M-max Lower Leg Ampl Lines
Test Item,Left TA
Patient Name,"post  s2718tdvg"
Patient ID,
Test Date,10/15/2019
Trace Label,"Tr 1 : 0 mA : 200 µs","Tr 2 : 46 mA : 200 µs","Tr 3 : 100 mA : 200 µs","Tr 4 : 100 mA : 300 µs","Tr 5 : 100 mA : 400 µs","Tr 6 : 100 mA : 400 µs"
,41.198730469,80.108642578,86.975097656,74.005126953,13.732910156,99.945068359
,44.250488281,100.708007813,92.315673828,77.819824219,19.073486328,105.285644531
,46.539306641,123.596191406,99.945068359,82.397460938,26.702880859,110.626220703
,47.302246094,147.247314453,109.863281250,87.738037109,36.621093750,116.729736328
,48.828125000,170.898437500,121.307373047,95.367431641,50.354003906,123.596191406
,48.828125000,193.786621094,135.803222656,104.522705078,65.612792969,134.277343750
,48.828125000,210.571289063,150.299072266,115.203857422,81.634521484,148.010253906
,50.354003906,224.304199219,164.794921875,128.173828125,97.656250000,164.031982422
,50.354003906,235.748291016,180.053710938,141.143798828,110.626220703,180.816650391
,50.354003906,245.666503906,195.312500000,155.639648438,121.307373047,196.075439453
,51.116943359,259.399414063,211.334228516,168.609619141,131.988525391,210.571289063
,51.116943359,273.132324219,228.118896484,180.053710938,141.143798828,222.778320313
,51.879882813,289.154052734,244.140625000,191.497802734,150.299072266,232.696533203
,51.116943359,303.649902344,257.873535156,200.653076172,159.454345703,240.325927734
,49.591064453,316.619873047,269.317626953,208.282470703,168.609619141,244.140625000
,47.302246094,328.063964844,276.947021484,212.860107422,177.764892578,244.140625000
